date,components temperature(℃),temperature(℃),air pressure(hPa),humidity(%),total radiation(W/m2),direct radiation(W/m2),diffuse radiation(W/m2),load(mw)
2019-01-03 14:45:00,21.985,-7.258,926.019,45.782,593.55,534.195,287.067,40.70007
2019-01-03 15:00:00,25.0125,-6.974,926.021,44.451,559.35,503.415,278.093,39.508137
2019-01-03 15:15:00,22.44,-6.341,926.027,41.768,528.35,475.515,260.747,37.06947
2019-01-03 15:30:00,21.325,-6.369,926.034,40.683,490.625,441.562,241.027,34.9244
2019-01-03 15:45:00,19.6575,-6.424,926.041,40.252,461.625,415.462,225.6,32.763668
2019-01-03 16:00:00,16.6275,-5.894,926.046,38.708,425.4,382.86,205.6,30.203068
2019-01-03 16:15:00,15.3,-5.575,926.048,37.334,387.825,349.043,186.6,27.231068
2019-01-03 16:30:00,13.625,-5.469,926.05,36.492,339.775,305.797,163.2,23.3724
2019-01-03 16:45:00,10.2575,-5.13,926.055,35.849,286.275,257.647,136.347,19.0214
2019-01-03 17:00:00,6.72,-5.267,926.058,36.268,241.975,217.777,115.16,11.5524
2019-01-03 17:15:00,3.8275,-5.622,926.059,37.055,181.875,163.688,87.2,6.1236
2019-01-03 17:30:00,1.3675,-5.994,926.055,38.392,126.65,113.985,62.3734,3.737133
2019-01-03 17:45:00,-3.5575,-6.674,926.055,40.378,77.825,70.1325,39.56,2.0124
2019-01-03 18:00:00,-8.06,-7.31,926.055,42.026,33.775,30.51,20.6,0.543733
2019-01-03 18:15:00,-11.9525,-7.782,926.055,43.131,0,0,8.81333,0
2019-01-03 18:30:00,-14,-8.234,926.059,44.17,0,0,0,0
2019-01-03 18:45:00,-15.1,-8.67,926.076,45.08,0,0,0,0
2019-01-03 19:00:00,-15.6,-9.258,926.074,46.555,0,0,0,0
2019-01-03 19:15:00,-16.245,-9.832,926.075,48.457,0,0,0,0
2019-01-03 19:30:00,-17.08,-10.087,926.076,49.78,0,0,0,0
2019-01-03 19:45:00,-17.2825,-10.015,926.075,48.704,0,0,0,0
2019-01-03 20:00:00,-17.85,-10.7,926.076,50.461,0,0,0,0
2019-01-03 20:15:00,-17.8475,-11.17,926.076,52.681,0,0,0,0
2019-01-03 20:30:00,-18.46,-11.631,926.075,54.244,0,0,0,0
2019-01-03 20:45:00,-19.3375,-10.692,926.075,50.718,0,0,0,0
2019-01-03 21:00:00,-19.7225,-11.309,926.075,52.219,0,0,0,0
2019-01-03 21:15:00,-20.175,-12.19,926.076,54.624,0,0,0,0
2019-01-03 21:30:00,-20.4775,-12.246,926.076,55.179,0,0,0,0
2019-01-03 21:45:00,-20.4,-12.241,926.077,56.136,0,0,0,0
2019-01-03 22:00:00,-20.8025,-12.714,926.076,58.193,0,0,0,0
